"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"c_proliferum","D","ecxwb1",0.00487447274623728,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxll4"
"c_proliferum","D","ecxwb2",0.00504311033968356,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxll4"
"c_proliferum","D","ecxll5",0.177046197303237,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxll4"
"c_proliferum","SQ","nec3param",0.212146363471098,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","nec4param",0.173752550552286,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","ecxexp",2.59967350695156e-08,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","ecxsigm",0.000609728379570684,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","ecxwb2",0.611361037807262,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","ecxwb1p3",2.43619429471775e-37,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","ecxwb2p3",0.00205856128084719,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum","SQ","ecxll3",7.17325122005095e-05,14,"neclin ecxlin ecx4param ecxwb1 ecxll5 ecxll4","ecx4param ecxwb1 ecxll4"
"c_proliferum2","A","nec4param",1.06457787149934e-07,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","neclin",0.0316109457980637,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","ecxlin",2.74413239277842e-30,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","ecx4param",0.0312116912952479,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","ecxwb1",0.0206828538833749,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","ecxwb2",0.809156954030775,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","ecxll5",0.070210232856857,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","A","ecxll4",0.0371272156778948,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum2","B1","nec4param",0.00124235560330209,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B1","neclin",1.55362408008991e-19,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B1","ecxlin",2.02623036368656e-19,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B1","ecx4param",0.211507024915227,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B1","ecxwb1",0.348962435241354,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B1","ecxwb2",0.213751393538406,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B1","ecxll4",0.224536790701711,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","B2","ecx4param",0.278679295626617,6,"nec4param ecxwb1","nec4param ecxwb1"
"c_proliferum2","B2","ecxwb2",0.248580893604355,6,"nec4param ecxwb1","nec4param ecxwb1"
"c_proliferum2","B2","ecxll5",0.256722705202291,6,"nec4param ecxwb1","nec4param ecxwb1"
"c_proliferum2","B2","ecxll4",0.216017105566738,6,"nec4param ecxwb1","nec4param ecxwb1"
"c_proliferum2","B3","nec4param",0.000423038587729727,6,"",""
"c_proliferum2","B3","ecx4param",0.164805022779463,6,"",""
"c_proliferum2","B3","ecxwb1",0.356836519323894,6,"",""
"c_proliferum2","B3","ecxwb2",0.150939182243741,6,"",""
"c_proliferum2","B3","ecxll5",0.166812010635279,6,"",""
"c_proliferum2","B3","ecxll4",0.160184226429894,6,"",""
"c_proliferum2","C","nec4param",0.241004380135987,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C","neclin",0.434117815467596,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","C","ecxlin",2.11713693724045e-11,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
