"dataset","arm","endpoint","estimate.manec","lower.manec","upper.manec","estimate.nec4","lower.nec4","upper.nec4","ratio","nec4_inside_manec"
"c_proliferum","A","ErC10",1.42235035035035,0.501475475475475,2.54341541541542,1.64255955955956,0.881836836836837,2.96381481481481,0.865935327624736,TRUE
"c_proliferum","A","ErC50",3.42425225225225,2.50337737737738,4.32510810810811,3.36419519519519,2.64351051051051,4.40518418418418,1.0178518348587,TRUE
"c_proliferum","A","NSEC",1.80739854936426,0.585632777472283,3.01266395523983,1.96224690617847,1.04292708859729,3.34801688635941,0.921086201575019,TRUE
"c_proliferum","B1","ErC10",2.78364364364364,1.86276876876877,3.44427127127127,2.78364364364364,1.90280680680681,3.44427127127127,1,TRUE
"c_proliferum","B1","ErC50",6.34702902902903,5.76647747747748,7.02767567567568,6.34702902902903,5.76647747747748,7.00765665665666,1,TRUE
"c_proliferum","B1","NSEC",2.32671596975075,1.26212161537134,3.15080529464673,2.3294249089437,1.30982263779086,3.15331568067842,0.998837078120634,TRUE
"c_proliferum","B2","ErC10",0.681646646646647,0.20119019019019,1.44236936936937,0.921874874874875,0.001,1.72263563563564,0.739413411976507,TRUE
"c_proliferum","B2","ErC50",3.18402402402402,0.801260285285286,6.5272002002002,2.50337737737738,0.581551551551551,5.60682580080079,1.27189134678516,TRUE
"c_proliferum","B2","NSEC",2.19640271000955,0.504536701853396,5.23127637329444,1.84918441286282,0.58814203711188,4.53931641687298,1.18776834518586,TRUE
"c_proliferum","B3","ErC10",3.00385285285285,2.26314914914915,3.80461361361361,3.02387187187187,2.34322522522523,3.78509507007006,0.993379673522136,TRUE
"c_proliferum","B3","ErC50",6.04674374374374,5.52624924924925,6.58725725725726,6.04674374374374,5.50623023023023,6.58725725725726,1,TRUE
"c_proliferum","B3","NSEC",2.61341574968199,1.71475511563752,3.55067011041898,2.64240585201729,1.93633701831132,3.56271714957788,0.989028898678389,TRUE
"c_proliferum","C","ErC10",2.54341541541542,1.5029269019019,3.30413813813814,2.60347247247247,1.90280680680681,3.32415715715716,0.976931940824396,TRUE
"c_proliferum","C","ErC50",6.56723823823824,6.04674374374374,7.08773273273273,6.5272002002002,6.02672472472472,7.02767567567568,1.0061340294169,TRUE
"c_proliferum","C","NSEC",1.88776108477538,0.626666653296838,2.76022952090872,1.98572820674675,1.2026163065555,2.83229982514733,0.950664385166855,TRUE
"c_proliferum","C2","ErC10",2.56343443443443,1.30223623623624,3.30413813813814,2.62349149149149,1.90280680680681,3.32415715715716,0.977107965757908,TRUE
