"dataset","n","n_conc","n_control","n_negative","n_zero_sgr","n_zero_density","min_positive_sgr","min_positive_density","mu_0","sd_control","cv_control","t","n_0","design_r_squared","R","effect_at_zero_density_scale","d","d_censored","delta","f_neg","lod_observed","lod_meta","lod_bound","gap_ratio_density","n_increases","max_increase_rel_control","n_reversals","n_reversals_in_decline"
"c_proliferum",85,14,20,12,0,0,0.003576484,140,0.11937095825,0.0114115153867542,0.0955970828587543,6.9999999992478,7968.00000216095,1,2.30618975889269,0.56638433756633,0.4429603952,FALSE,3.71078863480599,0.141176470588235,140,NA,NA,14,3,1.11416219614707,3,1
"c_proliferum2",70,13,10,10,0,0,0.045,990,0.1694,0.00721418356049001,0.0425866798139906,6.99905480325308,8683.90164165377,0.999994059075149,3.27278035029222,0.694449399908334,0.2968,FALSE,1.75206611570248,0.142857142857143,990,NA,NA,99,2,0.0625737898465171,1,0
"r_salina",85,14,20,4,16,16,0.745274151,10,1.43069770605,0.0426920863742298,0.0298400467084678,2.99999999990364,3871.00000090135,1,73.1193558789772,0.986323730727947,1.98622768600261,TRUE,1.38829305282551,0.235294117647059,10,10,-1.98622768600261,0.5,5,0.781783452695989,0,0
"r_salina2",70,13,10,17,4,4,0.044,100,0.9506,0.0333673160109976,0.0351013212823454,3.00023083372467,3123.29654176209,0.999999784960299,17.3227285895521,0.942272373845127,1.76103127299366,TRUE,1.85254709971982,0.3,100,10,-1.91453909124207,10,3,0.533136966126657,0,0
