"dataset","arm","endpoint","estimate","lower","upper","preparation","n","n_censored","elapsed","x_min","x_max","design_span","at_lower","at_upper","at_boundary","interval_at_boundary","interval_spans_design","max_rhat","divergences","not_converged","usable"
"c_proliferum2","C","ErC10",213.291891891892,197.277477477477,229.306306306306,"censored",70,10,62.982447385788,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00185059906633,0,FALSE,TRUE
"c_proliferum2","C2","ErC10",212.290990990991,197.277477477477,229.306306306306,"interval",70,10,38.1499025821686,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00193435300583,0,FALSE,TRUE
"c_proliferum2","D","ErC10",211.100800800801,194.287987987988,228.333933933934,"raw",60,0,81.4233124256134,0.1,420,419.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00196555656007,0,FALSE,TRUE
"c_proliferum2","SQ","ErC10",219.297297297297,196.276576576577,263.336936936937,NA,70,0,30.469407081604,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00603387819366,0,FALSE,TRUE
"c_proliferum2","A","ErC50",359.423423423423,347.412612612613,370.433333333333,"raw",70,0,18.64044880867,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00241521676861,0,FALSE,TRUE
"c_proliferum2","B1","ErC50",341.407207207207,327.394594594595,354.418918918919,"floored",70,0,58.511412858963,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00295475312204,0,FALSE,TRUE
"c_proliferum2","B2","ErC50",342.408108108108,0.1,429.486486486487,"raw",70,0,236.667644500732,0.1,1000,999.9,FALSE,FALSE,FALSE,TRUE,FALSE,1.04586683601197,11,FALSE,FALSE
"c_proliferum2","B3","ErC50",339.405405405405,326.393693693694,351.416216216216,"floored",70,0,9.464026927948,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00283727415882,0,FALSE,TRUE
"c_proliferum2","C","ErC50",352.417117117117,341.407207207207,363.427027027027,"censored",70,10,62.982447385788,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00185059906633,0,FALSE,TRUE
"c_proliferum2","C2","ErC50",352.417117117117,341.407207207207,363.427027027027,"interval",70,10,38.1499025821686,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00193435300583,0,FALSE,TRUE
"c_proliferum2","D","ErC50",353.589389389389,340.97977977978,367.03963963964,"raw",60,0,81.4233124256134,0.1,420,419.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00196555656007,0,FALSE,TRUE
