"dataset","arm","parameter","mean","sd","q2.5","q50","q97.5"
"c_proliferum2","B2","beta_Intercept",-1.82475310478701,4.00447235142008,-5.3464427925,-3.83501965,7.8850880725
"c_proliferum2","B2","nec_Intercept",306.989995712625,74.2840109404166,168.82881775,308.18276,423.13080475
"c_proliferum2","B2","bot_Intercept",0,0,0,0,0
"c_proliferum2","B2","sigma",0.085476633503125,0.00748465852556084,0.0723434231,0.085059313,0.101363179
"c_proliferum2","B3","top_Intercept",0.1634480928375,0.00172972347357871,0.16006792625,0.163453095,0.1668767945
"c_proliferum2","B3","beta_Intercept",-5.12663864765,0.0902718885104222,-5.3190319825,-5.1217199,-4.9579877075
"c_proliferum2","B3","nec_Intercept",222.06866169125,11.884949671014,191.6808535,223.688805,241.09473025
"c_proliferum2","B3","bot_Intercept",0,0,0,0,0
"c_proliferum2","B3","sigma",0.011254868670875,0.000978232338970123,0.0094807767775,0.011186924,0.013331805675
"c_proliferum2","C","bot_Intercept",-0.42703026032,0.177119437120717,-0.8394842505,-0.4023449,-0.16098688775
"c_proliferum2","C","top_Intercept",0.164442125305,0.00157273603695217,0.1612643145,0.164443415,0.16754446875
"c_proliferum2","C","beta_Intercept",-6.9926052867125,0.348601169277005,-7.6501026475,-7.00367225,-6.3017670375
"c_proliferum2","C","nec_Intercept",180.73187932125,9.53652500813101,161.833616,180.72436,200.248061
"c_proliferum2","C","sigma",0.0097888064520625,0.000950056279888528,0.008170855295,0.00970071285,0.011894986825
"c_proliferum2","C2","bot_Intercept",-0.430775661718,0.178304197669547,-0.8518573485,-0.40591169,-0.165142227
"c_proliferum2","C2","top_Intercept",0.16448046033125,0.00156170571567945,0.161460536,0.164461205,0.16749529425
"c_proliferum2","C2","beta_Intercept",-7.0006439851125,0.347404350425162,-7.6566868875,-7.00921425,-6.32544906
"c_proliferum2","C2","nec_Intercept",180.50930523125,9.50135417236875,161.42718475,180.561515,199.791033
"c_proliferum2","C2","sigma",0.009778856999125,0.000945525002215972,0.0081559495925,0.00969730675,0.011848742025
"c_proliferum2","D","bot_Intercept",-0.285368120351494,0.187820139117951,-0.72658567325,-0.25471163,-0.0184381352
"c_proliferum2","D","top_Intercept",0.16442351924875,0.00157654540437214,0.1613545645,0.164442375,0.16755647825
"c_proliferum2","D","beta_Intercept",-6.648605092,0.509101127143706,-7.535467745,-6.6810788,-5.5919181825
"c_proliferum2","D","nec_Intercept",179.471872935,10.4212947800432,158.44767475,179.728175,199.8594375
"c_proliferum2","D","sigma",0.0099225902448875,0.000949701231813008,0.008291294965,0.00985337165,0.012022990125
"c_proliferum2","SQ","bot_Intercept",0.0437160511211,0.0185578001829047,0.013041601675,0.0421403635,0.0837831173
"c_proliferum2","SQ","top_Intercept",0.9580489188775,0.00761817490259839,0.941188693,0.9587203,0.9714443445
"c_proliferum2","SQ","beta_Intercept",-5.0529733890375,0.181801597050077,-5.3575932775,-5.0720773,-4.6787644825
"c_proliferum2","SQ","nec_Intercept",208.426306975,23.9024466130539,174.569782,199.940445,250.76452375
"r_salina","A","bot_Intercept",-1.9854303412875,0.0141477382481166,-2.0131294225,-1.98546915,-1.95754973
