"dataset","endpoint","arm","ratio_to_A","A_inside_arm_interval","arm_inside_A_interval","width_ratio"
"r_salina","NSEC","C",0.968304521527257,TRUE,FALSE,3.9242897285875
"r_salina","NSEC","C2",0.997234034374461,TRUE,TRUE,2.09678836080135
"r_salina","NSEC","D",0.466254901694989,FALSE,FALSE,3.80429752286467
"r_salina","NSEC","SQ",0.932032549070625,TRUE,FALSE,7.29818464784243
"r_salina2","NSEC","A_raw_dropped",1.09007944147307,TRUE,TRUE,0.999870230560726
"r_salina2","NSEC","B1",1.73435420602765,FALSE,FALSE,0.536582933711647
"r_salina2","NSEC","B2",2.27253860338657,FALSE,FALSE,2.78349696895353
"r_salina2","NSEC","B3",1.73096033801643,FALSE,FALSE,0.507432271889107
"r_salina2","NSEC","C",1.22176833974123,FALSE,TRUE,0.866376638608301
"r_salina2","NSEC","C2",1.23001742090588,FALSE,TRUE,0.868517373139171
"r_salina2","NSEC","D",1.73365332951198,FALSE,FALSE,1.0084318006981
"r_salina2","NSEC","SQ",1.75275460546505,FALSE,FALSE,0.749902892925766
