"arm","x","est","lo","hi"
"A",0,0.11839387108,0.11115208375,0.12544669125
"A",0.0929558826346784,0.11839387108,0.11115208375,0.12544669125
"A",0.185911765269357,0.11839387108,0.11115208375,0.12544669125
"A",0.278867647904035,0.11839387108,0.11115208375,0.12544669125
"A",0.371823530538714,0.11839387108,0.11115208375,0.12544669125
"A",0.464779413173392,0.11839387108,0.11115208375,0.12544669125
"A",0.557735295808071,0.11839387108,0.11115208375,0.12544669125
"A",0.650691178442749,0.118393821528414,0.11115208375,0.12544669125
"A",0.743647061077427,0.11839342819791,0.11115208375,0.125419553
"A",0.836602943712106,0.118392359255465,0.11115208375,0.125419553
"A",0.929558826346784,0.11838899219485,0.11115208375,0.125419553
"A",1.02251470898146,0.118382500514011,0.11115208375,0.125392072297178
"A",1.11547059161614,0.118367016919244,0.11115208375,0.12537568325
"A",1.20842647425082,0.118336053323675,0.11112630675,0.125353300395658
"A",1.3013823568855,0.118275263153143,0.11109291725,0.12525219025
"A",1.39433823952018,0.118169468862516,0.1110441865,0.12508138625
"A",1.48729412215485,0.117999669041069,0.11080973825,0.124832935916626
"A",1.58025000478953,0.117742083097065,0.110355996128106,0.12464251625
"A",1.67320588742421,0.117363363638181,0.109539668507932,0.124405856624748
"A",1.76616177005889,0.116840946111509,0.108636549914786,0.124097084054461
"A",1.85911765269357,0.116149621730284,0.107255775253768,0.1235596325
"A",1.95207353532825,0.11526746151547,0.10569451573193,0.122976686
"A",2.04502941796293,0.114202749605766,0.104068525209146,0.12246625275
"A",2.1379853005976,0.1129741396674,0.102457264942154,0.121761078020426
"A",2.23094118323228,0.111600284066847,0.100775128876527,0.12115132825
"A",2.32389706586696,0.110117897055194,0.0990700749582949,0.120445770008964
"A",2.41685294850164,0.108546093089039,0.0974121222713423,0.119633182016271
"A",2.50980883113632,0.106900353200371,0.0957061528254722,0.118854400452018
"A",2.602764713771,0.105196571207779,0.0939820627922346,0.11779518525
"A",2.69572059640567,0.103452455050489,0.0923155711487615,0.116491174247379
"A",2.78867647904035,0.101682755006587,0.090663696124189,0.11519859207801
"A",2.88163236167503,0.0998989684252145,0.0890023800998756,0.113412523856013
"A",2.97458824430971,0.098105864281076,0.0873869396844526,0.111677444907972
"A",3.06754412694439,0.0963107105018639,0.0856797725888745,0.109661309969367
"A",3.16050000957907,0.094516755246237,0.0840434444508575,0.107758876702263
"A",3.25345589221374,0.092727109116584,0.0823249111782833,0.105776811762023
"A",3.34641177484842,0.0909432438762207,0.0805944875884372,0.103833352202084
"A",3.4393676574831,0.0891655253301844,0.0789484048910899,0.101883575023693
"A",3.53232354011778,0.0873939944588274,0.0772516564958726,0.0999586936160825
"A",3.62527942275246,0.0856289300310301,0.0756585296018048,0.0979726997425308
"A",3.71823530538714,0.0838703067429174,0.0740540434064859,0.096033695313305
"A",3.81119118802182,0.0821180342414704,0.0722867914798641,0.0940827479114749
