"cell","delta","top_factor","R","arm","iteration","f_neg","bot","top","beta","nec","sigma","dispersion_par","dispersion","divergences","max_rhat","ErC10","ErC50","ErC10_lwr","ErC10_upr","ErC50_lwr","ErC50_upr","phi","shape","true_ErC10","true_ErC50","true_nec","true_beta","true_top","true_bot"
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",1,0.171428571428571,-0.27020284560225,0.11319934655725,-3.42652118745,2.5483031424875,0.0263946559785,"sigma",0.0263946559785,0,1.00188282717556,3.40070537546273,7.62009908205539,2.20337369118523,5.38445017781599,6.51801863630357,8.94259561695756,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"B3",1,0.171428571428571,0,0.114514680035,-1.9154744586025,2.3159844028875,0.01748361473025,"sigma",0.01748361473025,0,1.00698292419076,2.86540915895471,7.0533148528116,2.07820884056056,4.94440519983367,6.04569844526708,8.28134734950647,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"E",1,0.171428571428571,NA,0.8070910687725,-2.027313839425,1.988299188915,NA,"phi",8.221513784725,0,1.00245955380266,2.70796909527588,7.24224292922619,1.8577927514102,4.12492966838535,6.23462652168168,8.65920350233566,8.221513784725,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"F",1,0.171428571428571,NA,0.11162192487725,-1.820036904,3.275065155905,NA,"shape",2.99436259115,0,1.00121040842996,3.87302556649923,7.52563504384809,2.14118486603209,5.95123440705978,5.95123440705978,9.35272698284091,NA,2.99436259115,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",2,0.185714285714286,-0.09672299997325,0.1160120495545,-2.644404070655,3.070777297175,0.02576073722925,"sigma",0.02576073722925,0,1.00388840363435,3.81004954102769,7.68307510752692,2.36081375486406,5.79379434338095,6.51801863630357,9.10003568063639,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"B3",2,0.185714285714286,0,0.116758849095,-1.8900919192025,2.8378935661675,0.01855967490875,"sigma",0.01855967490875,0,1.00438559747791,3.5266574264058,7.46265901837655,2.29862492971092,5.1010580631941,6.42355459809627,8.7221795278072,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"E",2,0.185714285714286,NA,0.8012280091425,-2.02367733375,2.689807562035,NA,"phi",6.3394624294,0,1.00149306647527,3.49516941367003,7.90349119667728,2.33011294244669,4.72320191036491,6.83289876366123,9.41491580799405,6.3394624294,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"F",2,0.185714285714286,NA,0.1150156247035,-1.79628425285,3.35579612946,NA,"shape",2.68156102135,0,1.00236769422219,3.93600159197076,7.49414703111232,2.17188567844946,6.07797365832125,5.88825838158825,9.44640382072982,NA,2.68156102135,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",3,0.157142857142857,-0.08641291802,0.11364595364,-2.4780820382,2.927010644385,0.0234671295755,"sigma",0.0234671295755,0,1.00455463924602,3.55814543914156,6.9588508146043,2.42457698065399,5.32147415234446,6.01421043253132,8.09241927309188,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"B3",3,0.157142857142857,0,0.1143350587475,-1.7826880971,2.6886980553925,0.012851556085675,"sigma",0.012851556085675,0,1.00227477625737,3.3377293499912,6.83289876366123,2.64499306980435,3.93600159197076,6.17165049621015,7.55712305658385,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"E",3,0.157142857142857,NA,0.8557820282225,-1.841649591375,2.50317703365,NA,"phi",10.323236888125,0,1.0039875510708,3.14880127357661,6.89587478913277,2.29862492971092,3.99897761744229,6.10867447073861,7.84051517120575,10.323236888125,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"F",3,0.157142857142857,NA,0.1129917041095,-1.6689069298,3.1053128519975,NA,"shape",3.1849815034,0,1.00279571623433,3.6211214646131,6.73843472545394,2.10969685329633,5.38523737813439,5.38445017781599,8.37581138771377,NA,3.1849815034,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",4,0.114285714285714,-0.0649261607855,0.11423255088425,-2.492740567875,2.65993894722,0.02326539856275,"sigma",0.02326539856275,0,1.0036724668639,3.46368140093427,7.39968299290502,2.39308896791822,4.69171389762914,6.23462652168168,8.78515555327873,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"B3",4,0.114285714285714,0,0.1147263992075,-1.77717282315,2.862256857975,0.0136873936915,"sigma",0.0136873936915,0,1.00279049728917,3.49516941367003,6.99033882734006,2.77094512074741,4.12492966838535,6.26611453441744,7.80902715846998,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"E",4,0.114285714285714,NA,0.8165532919425,-1.8475159491,2.55159190118,NA,"phi",9.979128698825,0,1.00226018877275,3.21177729904814,6.9588508146043,2.33011294244669,4.12492966838535,6.14016248347438,7.90349119667728,9.979128698825,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"F",4,0.114285714285714,NA,0.11220889312175,-1.79303229555,3.4936813293875,NA,"shape",1.752418179075,0,1.00317963049244,4.03046563017806,7.58861106931962,2.20416089150362,6.4873178238862,5.95123440705978,9.82425997355901,NA,1.752418179075,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",5,0.142857142857143,-0.2539059123685,0.114517389747,-3.515625668125,2.6328375437775,0.02731298393075,"sigma",0.02731298393075,0,1.00105751782241,3.71558550282039,8.56473946412837,2.36160095518245,5.38445017781599,7.27373094196196,9.91872401176631,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"B3",5,0.142857142857143,0,0.11582605862,-1.9877600712,2.6076567293175,0.0155232723205,"sigma",0.0155232723205,0,1.00166199379468,3.36921736272697,7.71456312026268,2.36160095518245,4.47129780847878,6.73843472545394,8.78515555327873,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"E",5,0.142857142857143,NA,0.8228889323175,-1.9205300737,2.6399933858275,NA,"phi",8.0517618477,0,1.00298654701969,3.36921736272697,7.36819498016926,2.17267287876786,4.69171389762914,6.29760254715321,8.65920350233566,8.0517618477,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"F",5,0.142857142857143,NA,0.11348997910675,-1.419353111025,6.592930344575,NA,"shape",1.8355060316575,0,1.00437382756701,7.11629087828313,9.50937984620135,4.15641768112112,10.0769512757635,7.02103963975744,12.1236721035883,NA,1.8355060316575,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",6,0.142857142857143,-0.14532310214125,0.114948130874,-3.00819131315,2.48556405447,0.03211663360275,"sigma",0.03211663360275,0,1.00376413415847,3.36921736272697,7.84051517120575,2.23564890423939,5.22701011413716,6.29681534683482,9.50937984620135,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"B3",6,0.142857142857143,0,0.1165369481425,-1.952213761575,2.3965581068825,0.01976290516975,"sigma",0.01976290516975,0,1.00272013001589,3.11731326084084,7.30521895469772,2.23564890423939,4.09422885596798,6.14016248347438,8.69069151507143,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"E",6,0.142857142857143,NA,0.79393680899,-2.022020097525,2.2934781638675,NA,"phi",4.4678503781,0,1.00218038779173,3.08582524810507,7.52563504384809,2.04672082782479,4.25088171932842,6.29760254715321,9.10003568063639,4.4678503781,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"F",6,0.142857142857143,NA,0.11323961039125,-1.862288188,3.98080465148,NA,"shape",1.0903583993375,0,1.00261379266918,4.53427383395031,8.344323374978,2.26713691697516,7.87279038425991,6.23462652168168,11.30419657214,NA,1.0903583993375,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
"d2.0_t2.0_R2.3_s8.1",2,2,2.3,"A",7,0.142857142857143,-0.19916318109075,0.11460799014925,-3.1808254699,3.5536049227425,0.0293541825915,"sigma",0.0293541825915,0,1.00278001449926,4.40832178300725,8.65920350233566,2.73945710801165,6.61248267451087,7.30521895469772,10.233604139124,NA,NA,2.50768524465496,7.79489604573253,1.3,-3.573,0.118987017562158,-0.237974035124315
