"delta","top_factor","R","top","bot","nec","zero_cross","x_max","ErC10","ErC50","cv_ctl","n","f_neg_true"
2,0.8,2.3,0.118987017562158,-0.237974035124315,1.3,15.744006367883,12.5952050943064,2.50768524465496,7.79489604573253,0.0955970828587543,70,0
4,0.8,2.3,0.118987017562158,-0.475948070248631,1.3,9.24911032215051,7.3992882577204,2.01968716248917,5.0532895646328,0.0955970828587543,70,0
8,0.8,2.3,0.118987017562158,-0.951896140497262,1.3,5.49582075751771,4.39665660601416,1.69802987177516,3.33617149040127,0.0955970828587542,70,0
2,1,2.3,0.118987017562158,-0.237974035124315,1.3,15.744006367883,15.744006367883,2.50768524465496,7.79489604573253,0.0955970828587543,70,0.0714285714285714
4,1,2.3,0.118987017562158,-0.475948070248631,1.3,9.24911032215051,9.24911032215051,2.01968716248917,5.0532895646328,0.0955970828587543,70,0.0714285714285714
8,1,2.3,0.118987017562158,-0.951896140497262,1.3,5.49582075751771,5.49582075751771,1.69802987177516,3.33617149040127,0.0955970828587542,70,0
2,2,2.3,0.118987017562158,-0.237974035124315,1.3,15.744006367883,31.4880127357661,2.50768524465496,7.79489604573253,0.0955970828587543,70,0.142857142857143
4,2,2.3,0.118987017562158,-0.475948070248631,1.3,9.24911032215051,18.498220644301,2.01968716248917,5.0532895646328,0.0955970828587543,70,0.142857142857143
8,2,2.3,0.118987017562158,-0.951896140497262,1.3,5.49582075751771,10.9916415150354,1.69802987177516,3.33617149040127,0.0955970828587542,70,0.142857142857143
4,2,3.3,0.170560352638919,-0.682241410555677,1.3,9.24911032215051,18.498220644301,2.01968716248917,5.0532895646328,0.0666908317262126,70,0.142857142857143
4,2,17,0.404744763436602,-1.61897905374641,1.3,9.24911032215051,18.498220644301,2.01968716248917,5.05328956463279,0.028103666321522,70,0.142857142857143
4,2,73,0.612922777306913,-2.45169110922765,1.3,9.24911032215051,18.498220644301,2.01968716248917,5.0532895646328,0.0185583114189112,70,0.142857142857143
