"dataset","endpoint","arm","estimate","lower","upper","preparation","n","n_censored","elapsed","x_min","x_max","design_span","at_lower","at_upper","at_boundary","interval_at_boundary","interval_spans_design","max_rhat","divergences","not_converged","usable","a_est","r","rlo","rhi"
"c_proliferum","ErC10","A",1.64255955955956,0.881836836836837,2.96381481481481,"raw",85,0,14.6944141387939,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00207744975103,0,FALSE,TRUE,1.64255955955956,1,0.536867495430908,1.80438803425158
"c_proliferum","ErC10","B1",2.78364364364364,1.90280680680681,3.44427127127127,"floored",85,0,211.034468889236,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00460513509777,0,FALSE,TRUE,1.64255955955956,1.69469875685363,1.15844006735259,2.09689277397943
"c_proliferum","ErC10","B2",0.921874874874875,0.001,1.72263563563564,"raw",85,0,41.0429513454437,0.001,20,19.999,FALSE,FALSE,FALSE,TRUE,FALSE,1.00353576051746,2,FALSE,FALSE,1.64255955955956,0.561242890408229,0.000608805929855075,1.04875078995464
"c_proliferum","ErC10","B3",3.02387187187187,2.34322522522523,3.78509507007006,"floored",85,0,10.7800309658051,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00201970838995,0,FALSE,TRUE,1.64255955955956,1.84095112671756,1.42656941210311,2.30438832372386
"c_proliferum","ErC10","C",2.60347247247247,1.90280680680681,3.32415715715716,"censored",85,12,238.859238624573,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00201497073987,0,FALSE,TRUE,1.64255955955956,1.58500947945569,1.15844006735259,2.02376658904747
"c_proliferum","ErC10","D",2.53803003003003,1.97257757757758,3.28362662662663,"raw",65,0,628.838600158691,0.001,5,4.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00112507551658,0,FALSE,TRUE,1.64255955955956,1.54516773243254,1.20091692632839,1.99909136172031
"c_proliferum","ErC50","A",3.36419519519519,2.64351051051051,4.40518418418418,"raw",85,0,14.6944141387939,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00207744975103,0,FALSE,TRUE,3.36419519519519,1,0.7857779816956,1.30943180421747
"c_proliferum","ErC50","B1",6.34702902902903,5.76647747747748,7.00765665665666,"floored",85,0,211.034468889236,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00460513509777,0,FALSE,TRUE,3.36419519519519,1.88664113131544,1.71407339434801,2.08301131476115
"c_proliferum","ErC50","B2",2.50337737737738,0.581551551551551,5.60682580080079,"raw",85,0,41.0429513454437,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00353576051746,2,FALSE,TRUE,3.36419519519519,0.744123700358634,0.172864984880228,1.66661726668196
"c_proliferum","ErC50","B3",6.04674374374374,5.50623023023023,6.58725725725726,"floored",85,0,10.7800309658051,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00201970838995,0,FALSE,TRUE,3.36419519519519,1.79738195702194,1.63671544329364,1.95804847075024
"c_proliferum","ErC50","C",6.5272002002002,6.02672472472472,7.02767567567568,"censored",85,12,238.859238624573,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00201497073987,0,FALSE,TRUE,3.36419519519519,1.94019663589154,1.79143134540237,2.08896192638071
"c_proliferum","ErC50","D",5,5,5,"raw",65,0,628.838600158691,0.001,5,4.999,FALSE,TRUE,TRUE,TRUE,FALSE,1.00112507551658,0,FALSE,FALSE,3.36419519519519,1.48623956396499,1.48623956396499,1.48623956396499
"c_proliferum","NSEC","A",1.96224690617847,1.04292708859729,3.34801688635941,"raw",85,0,14.6944141387939,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00207744975103,0,FALSE,TRUE,1.96224690617847,1,0.531496360276302,1.70621590780325
"c_proliferum","NSEC","B1",2.3294249089437,1.30982263779086,3.15331568067842,"floored",85,0,211.034468889236,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00460513509777,0,FALSE,TRUE,1.96224690617847,1.18712120355961,0.667511633559803,1.60699230598844
"c_proliferum","NSEC","B2",1.84918441286282,0.58814203711188,4.53931641687298,"raw",85,0,41.0429513454437,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00353576051746,2,FALSE,TRUE,1.96224690617847,0.942381107617164,0.299728864527708,2.31332581163979
"c_proliferum","NSEC","B3",2.64240585201729,1.93633701831132,3.56271714957788,"floored",85,0,10.7800309658051,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00201970838995,0,FALSE,TRUE,1.96224690617847,1.34662250897032,0.98679580648818,1.81563142658554
"c_proliferum","NSEC","C",1.98572820674675,1.2026163065555,2.83229982514733,"censored",85,12,238.859238624573,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00201497073987,0,FALSE,TRUE,1.96224690617847,1.01196653718467,0.612877157695526,1.44339624958987
"c_proliferum","NSEC","D",1.48655813697028,0.815737642810645,2.50868902387675,"raw",65,0,628.838600158691,0.001,5,4.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00112507551658,0,FALSE,TRUE,1.96224690617847,0.757579554483994,0.415716105981442,1.27847775729839
"c_proliferum2","ErC10","A",262.336036036036,247.322522522523,277.34954954955,"raw",70,0,18.64044880867,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00241521676861,0,FALSE,TRUE,262.336036036036,1,0.942769915485608,1.0572300845144
"c_proliferum2","ErC10","B1",235.311711711712,206.285585585586,253.327927927928,"floored",70,0,58.511412858963,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00295475312204,0,FALSE,TRUE,262.336036036036,0.896985847874092,0.78634101781293,0.965661949291364
"c_proliferum2","ErC10","B2",255.32972972973,0.1,401.461261261261,"raw",70,0,236.667644500732,0.1,1000,999.9,FALSE,FALSE,FALSE,TRUE,FALSE,1.04586683601197,11,FALSE,FALSE,262.336036036036,0.973292627226617,0.000381190481914057,1.53033211650005
"c_proliferum2","ErC10","B3",241.317117117117,213.291891891892,256.330630630631,"floored",70,0,9.464026927948,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00283727415882,0,FALSE,TRUE,262.336036036036,0.919877881679848,0.813048390586313,0.977107966194244
"c_proliferum2","ErC10","C",213.291891891892,197.277477477477,229.306306306306,"censored",70,10,62.982447385788,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00185059906633,0,FALSE,TRUE,262.336036036036,0.813048390586313,0.75200296710429,0.874093814068332
"c_proliferum2","ErC10","D",211.100800800801,194.287987987988,228.333933933934,"raw",60,0,81.4233124256134,0.1,420,419.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00196555656007,0,FALSE,TRUE,262.336036036036,0.804696159897007,0.740607317712537,0.870387223136088
"c_proliferum2","ErC50","A",359.423423423423,347.412612612613,370.433333333333,"raw",70,0,18.64044880867,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00241521676861,0,FALSE,TRUE,359.423423423423,1,0.966583116101867,1.03063214357329
"c_proliferum2","ErC50","B1",341.407207207207,327.394594594595,354.418918918919,"floored",70,0,58.511412858963,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00295475312204,0,FALSE,TRUE,359.423423423423,0.949874674152798,0.910888309604975,0.986076298375778
"c_proliferum2","ErC50","B2",342.408108108108,0.1,429.486486486487,"raw",70,0,236.667644500732,0.1,1000,999.9,FALSE,FALSE,FALSE,TRUE,FALSE,1.04586683601197,11,FALSE,FALSE,359.423423423423,0.952659414477643,0.000278223380790054,1.19493182273912
"c_proliferum2","ErC50","B3",339.405405405405,326.393693693694,351.416216216216,"floored",70,0,9.464026927948,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00283727415882,0,FALSE,TRUE,359.423423423423,0.944305193503108,0.90810356928013,0.977722077401244
"c_proliferum2","ErC50","C",352.417117117117,341.407207207207,363.427027027027,"censored",70,10,62.982447385788,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00185059906633,0,FALSE,TRUE,359.423423423423,0.980506817726089,0.949874674152798,1.01113896129938
"c_proliferum2","ErC50","D",353.589389389389,340.97977977978,367.03963963964,"raw",60,0,81.4233124256134,0.1,420,419.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00196555656007,0,FALSE,TRUE,359.423423423423,0.983768353274068,0.948685471113787,1.02119009424504
"c_proliferum2","NSEC","A",246.681114647102,231.883983596708,263.018478449675,"raw",70,0,18.64044880867,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00241521676861,0,FALSE,TRUE,246.681114647102,1,0.940015144363351,1.06622867675114
"c_proliferum2","NSEC","B1",219.901458663439,189.650009581551,242.217424016964,"floored",70,0,58.511412858963,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00295475312204,0,FALSE,TRUE,246.681114647102,0.891440185755713,0.76880635898237,0.981905016780374
"c_proliferum2","NSEC","B2",320.736659171657,211.437331522936,457.724899876241,"raw",70,0,236.667644500732,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.04586683601197,11,FALSE,TRUE,246.681114647102,1.30020759647733,0.85712816656198,1.85553280205927
"c_proliferum2","NSEC","B3",227.806205847864,198.423808228144,245.529275359431,"floored",70,0,9.464026927948,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00283727415882,0,FALSE,TRUE,246.681114647102,0.923484581192038,0.804373729671223,0.995330654763261
"c_proliferum2","NSEC","C",188.129683010903,171.080602700443,207.905744430833,"censored",70,10,62.982447385788,0.1,1000,999.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00185059906633,0,FALSE,TRUE,246.681114647102,0.762643233877219,0.693529388924597,0.842811760147345
"c_proliferum2","NSEC","D",186.715702016765,166.851572480057,208.372180578472,"raw",60,0,81.4233124256134,0.1,420,419.9,FALSE,FALSE,FALSE,FALSE,FALSE,1.00196555656007,0,FALSE,TRUE,246.681114647102,0.756911214236556,0.676385675971799,0.844702606750281
"r_salina","ErC10","A",4.88564064064064,4.86562162162162,4.92567867867868,"bound",85,0,23.9283645153046,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00094843781807,1,FALSE,TRUE,4.88564064064064,1,0.995902478202655,1.00819504359469
"r_salina","ErC10","B1",4.72548848848849,4.56533633633634,4.9456976976977,"floored",85,0,143.529759645462,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00133029365512,11,FALSE,TRUE,4.88564064064064,0.967219825621242,0.934439651242483,1.01229256539204
"r_salina","ErC10","B2",0.941893893893894,0.001,1.72263563563564,"bound",85,0,53.0751960277557,0.001,20,19.999,FALSE,FALSE,FALSE,TRUE,FALSE,1.01350405617687,8,FALSE,FALSE,4.88564064064064,0.192788205923059,0.000204681447849769,0.35259155601951
"r_salina","ErC10","B3",4.74550750750751,4.60537437437437,4.92567867867868,"floored",85,0,22.7535767555237,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00420693818936,6,FALSE,TRUE,4.88564064064064,0.971317347418587,0.942634694837171,1.00819504359469
"r_salina","ErC10","C",4.76552652652653,4.64541241241241,4.9456976976977,"censored",85,20,63.6221249103546,0.001,20,19.999,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197705421554,5,FALSE,TRUE,4.88564064064064,0.975414869215932,0.950829738431861,1.01229256539204
