"dataset","arm","parameter","prior_sd","posterior_sd","contraction"
"c_proliferum","A","bot",0.40582315668494,0.248789555785475,0.386950814197568
"c_proliferum","B1","bot",0.398497519775942,0.0134790912061478,0.966175219324511
"c_proliferum","C","bot",0.406903031845266,0.270554681251081,0.335088067483444
"c_proliferum","C2","bot",0.405530460475919,0.26959485569824,0.335204424886232
"c_proliferum","D","bot",0.405062039593273,0.30116269308521,0.256502304220828
"c_proliferum2","A","bot",0.314687663003447,0.183222263597493,0.417764707237711
"c_proliferum2","B1","bot",0.312349465312623,0.00579417815695357,0.981449694011308
"c_proliferum2","C","bot",0.311918523670912,0.177119437120717,0.432161209804948
"c_proliferum2","C2","bot",0.312123841769315,0.178304197669547,0.428738936895029
"c_proliferum2","D","bot",0.311982492263407,0.187820139117951,0.397978592467379
"r_salina","A","bot",3.58440391227889,0.0141477382481166,0.996052973215532
"r_salina","B1","bot",3.55128566316402,0.00929573915101539,0.997382429904911
"r_salina","C","bot",3.59398860596096,2.23352295242108,0.378539222768659
"r_salina","C2","bot",3.60052098814366,0.170612000044274,0.952614635324696
"r_salina","D","bot",3.61884640954518,2.67894785893318,0.259723249965208
"r_salina","A_raw_dropped","bot",3.61665920304712,0.0576361601712189,0.984063701627552
"r_salina2","A","bot",2.02072851992946,0.382274535296355,0.810823407733316
"r_salina2","B1","bot",2.05518239780822,0.0137197603310892,0.993324310121709
"r_salina2","C","bot",2.05131708775718,0.772235270885357,0.623541735456567
"r_salina2","C2","bot",2.02024108075304,0.32743763521778,0.837921504350496
"r_salina2","D","bot",2.05546101891596,0.0827225995968399,0.95975472225668
"r_salina2","A_raw_dropped","bot",2.02540665643096,0.0930020858731262,0.954082265120522
