"endpoint","mean_abs_rel_diff","max_abs_rel_diff","mc_sd_of_estimate","ratio_priordiff_to_mcsd"
"ErC10",0.00776149701798177,0.012295081967213,0.136342051006136,0.122107584982139
"ErC50",0.00157622480857338,0.00412371134020622,0.279592512332409,0.0264645436889356
"NSEC",0.00656806080561955,0.0209651407006188,0.172218294453175,0.072638486633594
